link_id,swat_sub,feature,to_node,us_area,contrib_area,slope,link_len,wetland_area,fainN,fainC,routing_depth,is_hw,pEM
58,90,1,59,18644400,18644400,0.0001,3919.1,0,0.71211,0.0098208,31,1,0
59,90,1,60,22896000,4251600,0.000602,3499.9,0,0.84485,0.02252,30,0,0
60,90,1,129,30644100,7748100,0.001637,4144.9,0,0.7566,0.018499,29,0,0
61,90,1,129,91632600,4797900,0.0001,2893.1,0,0.62117,0.022966,29,0,0
62,94,1,63,7175700,7175700,0.003524,3009.8,0,0.85013,0.036527,35,1,0
63,91,1,69,10041300,2865600,0.001907,3087,0,0.89406,0.0055394,34,0,0
64,82,1,65,46397700,13407300,0.001805,4912.8,0,0.64382,0.0090414,32,0,0
65,82,1,74,52650000,6252300,0.000969,4969.8,0,0.63471,0.0084008,31,0,0
66,82,1,74,734400,0,0.000308,43.42,0,0,0,31,0,0
67,89,1,68,7193700,7193700,0.001112,2772.5,0,0.86994,0.0082284,37,1,0
68,89,1,89,10926000,3732300,0.003812,2839.8,0,0.74183,0.010993,36,0,0
69,91,1,76,58982400,532800,0.0001,1262.1,0,0.37037,0.107,33,0,0
70,89,1,71,8709300,8709300,0.002106,4039.2,0,0.70115,0.01531,37,1,0
71,89,1,89,13063500,4354200,0.00334,4148.3,0,0.91134,0.0079897,36,0,0
72,86,1,92,5755500,996300,0.000539,1440.5,0,0.12594,0.10024,32,0,0
73,76,1,550,2953800,38700,0.005305,144.43,0,0.83359,0.097165,31,0,0
74,82,1,114,54092700,708300,0.000261,967.91,0,0.91638,0.046318,30,0,0
75,87,1,99,144690300,1042200,0.001263,1634.3,0,0.68023,0.051427,25,0,0
76,86,1,92,111163500,3330900,0.000854,3562.1,0,0.62633,0.066122,32,0,0
77,89,1,76,48850200,1742400,0.0001,2554.6,0,0.78645,0.040688,33,0,0
